,Relastic,Investigative,Artistic,social,Enterprising,conventional,temp
307,5,5,6,4,3,4,307
308,6,6,6,6,5,5,308
309,5,6,4,6,4,3,309
310,2,3,6,6,2,5,310
311,5,6,6,7,7,6,311
312,3,1,5,5,3,3,312
313,5,5,2,3,6,4,313
314,6,6,7,7,6,6,314
315,4,3,5,6,2,7,315
316,5,4,4,5,3,6,316
317,6,5,7,6,5,7,317
318,6,6,4,6,4,5,318
319,4,4,5,6,5,4,319
320,6,6,6,7,5,7,320
321,5,5,7,7,6,6,321
322,4,5,4,5,5,5,322
323,5,6,7,7,6,7,323
324,6,3,3,6,6,5,324
325,6,6,3,6,6,6,325
326,5,5,6,6,5,7,326
327,3,6,4,6,5,6,327
328,4,4,5,5,4,7,328
329,6,6,3,6,6,6,329
330,6,5,4,7,6,4,330
331,5,5,5,6,4,7,331
332,4,6,6,4,4,6,332
333,6,6,5,7,4,5,333
334,5,3,5,5,4,6,334
335,6,6,5,6,4,6,335
336,6,6,5,7,5,6,336
337,5,6,7,7,5,7,337
338,4,4,7,7,5,6,338
339,3,5,3,6,5,6,339
340,6,5,5,7,7,7,340
341,6,3,4,5,4,5,341
342,6,6,5,7,6,7,342
343,6,5,3,5,4,5,343
344,6,6,4,6,6,6,344
345,4,6,4,7,6,6,345
346,4,6,6,7,7,7,346
347,6,6,6,6,6,7,347
348,4,6,6,6,4,5,348
349,4,4,5,6,4,4,349
350,5,5,7,7,5,7,350
351,4,1,5,6,6,5,351
352,4,4,3,5,4,6,352
353,6,6,6,7,7,7,353
354,5,6,7,6,6,7,354
355,4,6,5,5,5,4,355
356,3,5,6,3,5,6,356
357,4,6,5,6,4,6,357
358,5,5,7,7,6,5,358
359,4,3,6,7,4,5,359
360,5,6,4,7,7,6,360
361,4,6,5,7,6,7,361
362,6,6,7,7,7,7,362
363,4,5,5,5,4,3,363
364,5,6,7,7,6,7,364
365,6,5,7,7,5,6,365
366,5,5,5,6,7,6,366
367,6,5,5,6,7,7,367
368,6,6,6,7,4,4,368
369,4,4,4,6,5,7,369
370,5,5,6,6,6,5,370
371,5,6,7,7,5,7,371
372,5,6,7,6,5,7,372
373,3,3,4,6,6,7,373
374,5,6,7,6,3,6,374
375,4,5,7,7,7,5,375
376,5,4,4,7,2,4,376
377,5,5,7,5,6,5,377
378,5,5,6,7,5,5,378
379,6,6,6,5,4,7,379
380,3,4,6,7,6,6,380
381,6,2,1,7,4,2,381
382,5,5,4,5,2,5,382
383,6,6,7,7,5,5,383
384,6,6,2,7,6,4,384
385,5,6,6,6,6,7,385
386,6,5,7,6,5,4,386
387,5,5,6,6,7,6,387
388,6,5,6,6,7,7,388
389,6,4,1,4,4,3,389
390,4,5,6,7,4,4,390
391,5,6,5,7,5,7,391
392,6,4,6,6,5,6,392
393,3,2,4,6,4,6,393
394,5,3,6,1,3,3,394
395,4,5,4,6,3,5,395
396,4,5,5,4,4,6,396
397,6,4,5,7,6,6,397
398,6,6,6,7,5,5,398
399,5,5,7,7,4,5,399
400,6,5,2,7,6,6,400
401,6,5,7,7,5,7,401
402,1,4,5,7,6,5,402
403,6,5,5,6,6,6,403
404,5,3,3,6,4,6,404
405,6,5,4,7,6,7,405
406,5,3,6,7,4,7,406
407,5,6,7,7,5,5,407
408,4,5,6,7,7,5,408
409,4,6,6,7,3,4,409
410,6,5,7,7,4,7,410
411,6,5,2,5,6,5,411
412,4,6,5,7,6,4,412
413,6,6,7,7,7,7,413
414,5,4,3,4,4,3,414
415,6,6,7,7,7,7,415
416,5,4,7,6,5,3,416
417,2,2,3,5,1,1,417
418,4,5,3,5,2,5,418
419,5,6,7,7,7,7,419
420,5,6,7,7,5,4,420
421,4,5,6,4,3,4,421
422,4,5,6,7,7,7,422
423,5,5,6,7,6,2,423
424,4,3,4,7,7,6,424
425,6,5,6,7,3,7,425
426,5,5,6,7,5,7,426
427,4,4,6,6,5,1,427
428,5,3,5,5,6,6,428
429,6,6,7,7,7,7,429
430,5,5,4,5,4,7,430
431,3,5,6,6,6,5,431
432,3,1,1,3,1,3,432
433,6,5,7,7,7,7,433
434,6,6,7,5,6,6,434
435,6,4,4,6,2,3,435
436,3,6,4,3,3,4,436
437,6,6,7,7,7,7,437
438,6,6,7,7,7,7,438
439,6,6,5,7,6,7,439
440,6,6,7,6,7,7,440
441,5,6,4,7,7,7,441
442,4,5,5,7,6,6,442
443,6,6,5,2,4,3,443
444,6,6,7,7,7,7,444
445,6,6,6,6,7,7,445
446,6,5,5,6,5,7,446
447,2,6,5,5,2,3,447
448,3,3,5,2,4,3,448
449,5,6,5,7,4,4,449
450,5,4,6,7,6,7,450
451,5,5,7,7,6,7,451
452,5,4,5,7,4,4,452
453,2,3,5,7,5,3,453
454,6,6,7,7,5,7,454
455,6,6,6,5,6,6,455
456,4,4,6,6,6,7,456
457,6,4,5,6,6,6,457
458,4,4,4,1,3,6,458
459,6,6,7,7,7,7,459
460,6,6,7,7,7,7,460
461,5,5,5,7,4,4,461
462,4,4,2,7,6,6,462
463,6,5,5,7,5,5,463
464,6,6,7,7,7,7,464
465,6,4,5,5,6,5,465
466,6,6,7,7,7,7,466
467,4,4,2,4,5,3,467
468,5,4,4,3,3,2,468
469,6,5,6,5,4,4,469
470,6,6,6,7,7,7,470
471,6,6,7,7,6,7,471
472,5,5,6,6,7,5,472
473,6,5,4,6,4,6,473
474,4,6,6,6,4,7,474
475,4,6,6,6,6,6,475
476,6,6,7,7,7,7,476
477,5,5,6,6,5,5,477
478,6,5,5,4,4,5,478
479,6,6,7,7,7,7,479
480,5,5,7,6,5,6,480
481,3,4,4,7,4,6,481
482,5,5,5,6,3,5,482
483,6,6,7,6,6,7,483
484,5,5,5,6,5,4,484
485,6,6,7,7,7,7,485
486,6,6,7,7,7,7,486
487,6,6,7,6,5,7,487
488,6,5,6,5,4,7,488
489,4,6,7,7,5,6,489
490,4,4,1,5,4,6,490
491,6,4,3,3,6,5,491
492,6,6,7,6,6,6,492
493,4,5,7,7,7,5,493
494,6,6,7,7,7,7,494
495,6,5,6,7,7,7,495
496,6,6,7,6,7,7,496
497,6,5,6,6,6,7,497
498,6,6,6,6,6,7,498
499,6,6,7,7,7,7,499
500,3,5,6,6,6,5,500
501,5,6,5,7,4,5,501
502,4,5,6,7,7,6,502
503,6,6,6,7,7,7,503
504,6,6,7,7,7,7,504
505,6,5,5,4,4,4,505
506,5,5,7,7,7,6,506
507,6,6,7,7,7,7,507
508,5,4,5,4,3,6,508
509,6,6,6,7,6,7,509
510,6,3,5,3,5,7,510
511,5,5,3,6,4,5,511
512,3,4,6,7,5,6,512
513,6,4,6,7,4,4,513
514,6,6,7,7,7,7,514
515,5,6,7,7,7,7,515
516,6,6,7,7,6,6,516
517,5,6,6,7,4,5,517
518,6,3,5,6,4,4,518
519,5,6,5,6,7,7,519
520,5,4,5,7,5,5,520
521,5,5,7,7,5,7,521
522,4,6,3,6,7,6,522
523,6,6,2,6,5,7,523
524,4,2,3,6,4,3,524
525,5,6,6,7,6,7,525
526,6,6,5,6,3,7,526
527,5,6,2,6,5,7,527
528,5,6,5,7,5,7,528
529,5,5,5,7,6,6,529
530,4,5,7,6,4,5,530
531,4,6,7,7,7,5,531
532,6,5,2,6,6,7,532
533,5,5,4,6,5,6,533
534,5,6,5,4,2,6,534
535,6,6,5,6,4,4,535
536,4,4,5,5,4,5,536
537,6,6,6,7,5,4,537
538,6,6,7,7,6,4,538
539,6,6,7,7,4,6,539
540,6,6,7,7,7,7,540
541,5,5,3,5,5,5,541
542,6,4,4,5,0,4,542
543,6,3,6,7,6,5,543
544,6,3,2,7,1,7,544
545,5,6,5,7,7,7,545
546,5,5,4,5,6,6,546
547,4,5,5,6,4,3,547
548,6,5,7,6,5,6,548
549,6,4,6,5,7,7,549
550,5,5,5,7,6,7,550
551,4,0,2,5,5,3,551
552,6,4,6,7,7,7,552
553,5,6,3,6,4,6,553
554,6,6,7,7,6,7,554
555,6,6,7,7,5,7,555
556,5,3,1,5,2,5,556
557,3,5,5,2,3,5,557
558,6,5,5,6,6,7,558
559,4,4,4,7,4,6,559
560,6,5,4,6,3,4,560
561,4,6,7,6,4,5,561
562,3,6,3,5,5,3,562
